Time (s),Nodes Explored,Pruned by,Bound Update,LB,UB,Rel. Gap,Abs. Gap,# Nodes
6.57,1, ,* L  ,0.94801326,inf,inf%,inf,2
13.76,2, ,* U  ,0.94801326,0.97849716,3.1154%,0.030484,3
20.324,3, ,* L  ,0.9511104,0.97849716,2.7989%,0.027387,4
30.033,4, , ,0.9511104,0.97849716,2.7989%,0.027387,5
38.086,5, ,* L  ,0.95835705,0.97849716,2.0583%,0.02014,6
49.071,6, ,* U  ,0.95835705,0.97586654,1.7943%,0.017509,7
58.725,7, , ,0.95835705,0.97586654,1.7943%,0.017509,8
64.123,8, , ,0.95835705,0.97586654,1.7943%,0.017509,9
69.694,9, ,* L  ,0.95842074,0.97586654,1.7877%,0.017446,10
74.686,10,Bound, ,0.95842074,0.97586654,1.7877%,0.017446,9
81.083,11, ,* L  ,0.96116534,0.97586654,1.5065%,0.014701,10
89.176,12, , ,0.96116534,0.97586654,1.5065%,0.014701,11
97.248,13, , ,0.96116534,0.97586654,1.5065%,0.014701,12
105.084,14, , ,0.96116534,0.97586654,1.5065%,0.014701,13
111.891,15, , ,0.96116534,0.97586654,1.5065%,0.014701,14
119.322,16, , ,0.96116534,0.97586654,1.5065%,0.014701,15
126.226,17, , ,0.96116534,0.97586654,1.5065%,0.014701,16
131.418,18, , ,0.96116534,0.97586654,1.5065%,0.014701,17
137.69,19, , ,0.96116534,0.97586654,1.5065%,0.014701,18
142.691,20, , ,0.96116534,0.97586654,1.5065%,0.014701,19
147.824,21, , ,0.96116534,0.97586654,1.5065%,0.014701,20
152.723,22, , ,0.96116534,0.97586654,1.5065%,0.014701,21
157.631,23, ,* L  ,0.96131449,0.97586654,1.4912%,0.014552,22
163.911,24, , ,0.96131449,0.97586654,1.4912%,0.014552,23
170.055,25, ,* L  ,0.96170293,0.97586654,1.4514%,0.014164,24
175.281,26, , ,0.96170293,0.97586654,1.4514%,0.014164,25
181.5,27, ,* L  ,0.96226353,0.97586654,1.3939%,0.013603,26
188.587,28, , ,0.96226353,0.97586654,1.3939%,0.013603,27
197.038,29,Bound, ,0.96226353,0.97586654,1.3939%,0.013603,26
203.592,30, , ,0.96226353,0.97586654,1.3939%,0.013603,27
210.418,31, ,* L  ,0.96246914,0.97586654,1.3729%,0.013397,28
218.167,32, , ,0.96246914,0.97586654,1.3729%,0.013397,29
224.293,33, ,* L  ,0.96284978,0.97586654,1.3339%,0.013017,30
230.717,34, , ,0.96284978,0.97586654,1.3339%,0.013017,31
237.709,35, ,* L  ,0.96333017,0.97586654,1.2846%,0.012536,32
243.895,36, , ,0.96333017,0.97586654,1.2846%,0.012536,33
251.55,37, ,* L  ,0.96390983,0.97586654,1.2252%,0.011957,34
281.737,38, , ,0.96390983,0.97586654,1.2252%,0.011957,35
321.133,39, ,* L  ,0.96412689,0.97586654,1.203%,0.01174,36
327.887,40, , ,0.96412689,0.97586654,1.203%,0.01174,37
334.609,41, ,* L  ,0.96480597,0.97586654,1.1334%,0.011061,38
348.051,42, , ,0.96480597,0.97586654,1.1334%,0.011061,39
361.147,43, ,* L  ,0.967072,0.97586654,0.9012%,0.008795,40
367.824,44, , ,0.967072,0.97586654,0.9012%,0.008795,41
374.166,45, ,* L  ,0.96739998,0.97586654,0.8676%,0.008467,42
428.652,46, , ,0.96739998,0.97586654,0.8676%,0.008467,43
469.661,47, ,* L  ,0.9688927,0.97586654,0.7146%,0.006974,44
525.124,48, , ,0.9688927,0.97586654,0.7146%,0.006974,45
571.148,49, ,* L  ,0.96932505,0.97586654,0.6703%,0.006541,46
577.601,50, , ,0.96932505,0.97586654,0.6703%,0.006541,47
583.463,51, ,* L  ,0.969329,0.97586654,0.6699%,0.006538,48
589.816,52, , ,0.969329,0.97586654,0.6699%,0.006538,49
596.008,53, ,* L  ,0.96945214,0.97586654,0.6573%,0.006414,50
602.291,54, , ,0.96945214,0.97586654,0.6573%,0.006414,51
609.223,55, ,* L  ,0.96950179,0.97586654,0.6522%,0.006365,52
615.26,56, , ,0.96950179,0.97586654,0.6522%,0.006365,53
621.155,57, ,* L  ,0.96950217,0.97586654,0.6522%,0.006364,54
627.492,58, , ,0.96950217,0.97586654,0.6522%,0.006364,55
633.766,59, ,* L  ,0.96950493,0.97586654,0.6519%,0.006362,56
639.662,60, , ,0.96950493,0.97586654,0.6519%,0.006362,57
645.537,61, ,* L  ,0.96950494,0.97586654,0.6519%,0.006362,58
651.554,62, , ,0.96950494,0.97586654,0.6519%,0.006362,59
657.632,63, ,* L  ,0.96950496,0.97586654,0.6519%,0.006362,60
663.518,64, , ,0.96950496,0.97586654,0.6519%,0.006362,61
669.819,65, ,* L  ,0.96950528,0.97586654,0.6519%,0.006361,62
675.936,66, , ,0.96950528,0.97586654,0.6519%,0.006361,63
681.902,67, ,* L  ,0.96950528,0.97586654,0.6519%,0.006361,64
687.752,68, , ,0.96950528,0.97586654,0.6519%,0.006361,65
693.669,69, ,* L  ,0.9695054,0.97586654,0.6518%,0.006361,66
699.576,70, , ,0.9695054,0.97586654,0.6518%,0.006361,67
